comment_id,bim360_account_id,bim360_project_id,issue_id,comment_body,created_by,created_at
b8c3e306-7218-476d-b1b3-a0331f6c6df2,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,4974757d-4cb1-4fee-ba8d-331ab5472025,"Uploaded please check and close the issue @{""type"": ""user"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""} ",V9Q2X946QA52XTJG,2025-04-03 10:09:28.632
466fcb53-801a-436e-aaf1-b8d6ae1d3b6b,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,59234424-2869-4cc3-86a4-df6d6153feb8,"@{""type"": ""user"", ""id"": ""U8Q2F3P4M3PWWQXF"", ""name"": ""Deepak Bhardwaj""} I will share the file 
",V9Q2X946QA52XTJG,2025-05-14 05:34:27.114
f4b546d9-ab64-4f4e-9c17-56456a5d0204,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,40e573ff-5b8b-42a2-a3ee-0ea96a777ccd,"@{""type"":""user"",""id"":""3NGJNZCXN8PBNTRV"",""name"":""Pankaj Kumar""} drawing issued.",CMJ2N3U8MSMRM8ZA,2025-05-19 11:43:39.373
74fce677-4930-4865-939b-aba57384f822,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,40e573ff-5b8b-42a2-a3ee-0ea96a777ccd,"@{""type"": ""user"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""}  Drawing has been recieved. Issue closed.",3NGJNZCXN8PBNTRV,2025-05-19 11:45:48.133
7145ba43-5bfe-4ab8-8697-1843538ec340,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,59234424-2869-4cc3-86a4-df6d6153feb8,"closed by admin due to unavaliblity of member
",V9Q2X946QA52XTJG,2025-05-27 11:04:51.473
1ce6555b-0b77-415c-89c7-641c086b36bd,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,6c0d5ffc-d71c-4e27-b4da-c10a001f32a1,"The point has been attended, and the issue is closed.",YNUJS2S8LSSR8AJW,2025-05-27 12:16:51.998
bdab04ab-90c3-4057-9225-70694b5ae09d,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,3deb9059-829a-4753-98c7-0c2006473c5b,"@{""type"": ""user"", ""id"": ""YNUJS2S8LSSR8AJW"", ""name"": ""sunilyadav sunilyadav""} @{""type"": ""user"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""} @{""type"": ""user"", ""id"": ""G5LJ2CH9PRAMRT7X"", ""name"": ""Dushyant Verma""} @{""type"": ""user"", ""id"": ""UTSJVWURK8KCQAQQ"", ""name"": ""Nitin Kumar - VKJ""} @{""type"": ""user"", ""id"": ""HAF3KK94JCSG"", ""name"": ""vikas mittal""} ",KNL28BHPJJMCM75F,2025-06-10 05:24:16.965
6236589d-4e25-4b24-901b-54c2fe93ac03,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,3deb9059-829a-4753-98c7-0c2006473c5b,"R/Sir
Please find the attached photos rectified points",KNL28BHPJJMCM75F,2025-06-10 05:25:32.643
a81060d2-b64e-4db0-b564-39df3e2d7e7f,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,a95f6b04-0ce7-43fa-b172-7da4631d625e,"@{""type"": ""user"", ""id"": ""YNUJS2S8LSSR8AJW"", ""name"": ""sunilyadav sunilyadav""} @{""type"": ""user"", ""id"": ""Q8AJCWZUMM834EBP"", ""name"": ""Ashish Jain""} @{""type"": ""user"", ""id"": ""Y2W2RXA2P4MPP325"", ""name"": ""Yogi Mangla""} @{""type"": ""user"", ""id"": ""U8Q2F3P4M3PWWQXF"", ""name"": ""Deepak Bhardwaj""} @{""type"": ""user"", ""id"": ""UTSJVWURK8KCQAQQ"", ""name"": ""Nitin Kumar - VKJ""} @{""type"": ""user"", ""id"": ""CMJ2N3U8MSMRM8ZA"", ""name"": ""Deepak Kumar""} ",KNL28BHPJJMCM75F,2025-06-10 05:34:28.863
438eb244-625f-4be2-a6c2-818f02f63ccf,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,a95f6b04-0ce7-43fa-b172-7da4631d625e,"R/Sir
Please find the attached rectified points photos.",KNL28BHPJJMCM75F,2025-06-10 05:35:46.236
