uid,bim360_account_id,bim360_project_id,description,has_section_assignees,created_at,created_by,updated_at,updated_by,user_created_at
f1356ae8-126b-43dc-8cb5-1edaad707eef,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,,,2025-02-01 04:01:59.601235,509c08e1165f0d0002000236,2025-02-01 04:01:59.60124,509c08e1165f0d0002000236,2025-02-01 04:01:59.601239
34a5a5b3-7d6d-4b49-9490-04920b1360d8,bf996092-8d66-408a-8d8e-5065ca3330c2,3473261e-0400-4f3f-881d-b12012018bee,"",f,2025-02-01 04:02:21.270066,509c08e1165f0d0002000236,2025-02-01 04:02:21.27007,509c08e1165f0d0002000236,2025-02-01 04:02:21.270069
9a8001d0-1f1d-4d3b-b39b-a01991768ae0,bf996092-8d66-408a-8d8e-5065ca3330c2,1b9ab417-1b67-460b-a854-2e443d5b6f4f,,,2025-02-10 11:53:11.828522,509c08e1165f0d0002000236,2025-02-10 11:53:11.828528,509c08e1165f0d0002000236,2025-02-10 11:53:11.828526
7e0e10cd-1626-4921-870f-ae7437abdf79,bf996092-8d66-408a-8d8e-5065ca3330c2,85aceded-1588-4f99-bfba-6fe212b8cb9a,,,2025-02-18 04:41:59.825991,509c08e1165f0d0002000236,2025-02-18 04:41:59.825997,509c08e1165f0d0002000236,2025-02-18 04:41:59.825996
027263f8-4543-41ca-8c77-ce9c50422ddf,bf996092-8d66-408a-8d8e-5065ca3330c2,d3e63b56-0fd8-48c4-a595-b59dec992cd7,,,2025-02-21 13:16:35.954008,509c08e1165f0d0002000236,2025-02-21 13:16:35.954013,509c08e1165f0d0002000236,2025-02-21 13:16:35.954012
be37613f-2ae6-4301-9239-80b291744ed2,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,,f,2025-02-25 06:04:10.947642,509c08e1165f0d0002000236,2025-02-25 06:04:10.947646,509c08e1165f0d0002000236,2025-02-25 06:04:10.947645
cff95695-2d7b-4953-8034-0d11c86dc3fd,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,,f,2025-03-07 10:08:42.312298,509c08e1165f0d0002000236,2025-03-07 10:08:42.312303,509c08e1165f0d0002000236,2025-03-07 10:08:42.312301
63a3aacf-9628-4ab2-9864-2ab81b6e0c31,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,,f,2025-03-10 07:06:21.380844,509c08e1165f0d0002000236,2025-03-10 07:06:21.380848,509c08e1165f0d0002000236,2025-03-10 07:06:21.380847
8e8c0b3c-0941-4bc9-806b-7e878e0b3a02,bf996092-8d66-408a-8d8e-5065ca3330c2,77d5fb8c-5d83-4fa8-8c81-169306f7a8f7,,f,2025-03-10 07:10:42.048945,509c08e1165f0d0002000236,2025-03-10 07:10:42.04895,509c08e1165f0d0002000236,2025-03-10 07:10:42.048948
470921ba-f697-4894-8948-97463857062d,bf996092-8d66-408a-8d8e-5065ca3330c2,1087faa2-780e-45f2-a023-368facf7cc30,,f,2025-03-21 06:33:15.536286,509c08e1165f0d0002000236,2025-03-21 06:33:15.53629,509c08e1165f0d0002000236,2025-03-21 06:33:15.536289
54ad80ba-1466-4416-9d7d-c6c2142095ec,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,,f,2025-03-21 06:44:55.331931,509c08e1165f0d0002000236,2025-03-21 06:44:55.331935,509c08e1165f0d0002000236,2025-03-21 06:44:55.331934
1f255c27-4316-461a-b872-b3f5fdcaf6e1,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,,f,2025-03-21 09:13:20.678703,509c08e1165f0d0002000236,2025-03-21 09:13:20.678708,509c08e1165f0d0002000236,2025-03-21 09:13:20.678706
55e52f33-9915-43a7-bf03-833cfb8ee419,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Backfilling Checklist - Omaxe/QA/ACL/003 - R0,f,2025-04-18 07:22:31.954023,674ee48182d3aec5cf1f7053,2025-04-18 07:22:31.954028,674ee48182d3aec5cf1f7053,2025-04-18 07:22:31.954027
3b8b5098-5c93-4a8a-bdd7-760c3e3eaf42,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Conduiting Work Checklist - Omaxe/QA/ACL/026 - R0,t,2025-04-18 07:28:11.606008,674ee48182d3aec5cf1f7053,2025-04-18 07:28:11.606014,674ee48182d3aec5cf1f7053,2025-04-18 07:28:11.606012
e56a6579-eb71-49a5-beaf-bf809f0e455a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Brick Masonry Checklist - Omaxe/QA/ACL/020 - R0,f,2025-04-18 08:36:31.846541,674ee48182d3aec5cf1f7053,2025-04-18 08:36:31.846546,674ee48182d3aec5cf1f7053,2025-04-18 08:36:31.846545
