id,bim360_account_id,bim360_project_id,review_document_id,created_by,status,text,created_at,updated_at,deleted_at,round_num
3678352,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2b33739a-ab04-4049-8e75-69799b8708a0,H4J29KZBMAKAE737,submitted,check roofing,2025-04-19 06:39:38.854,2025-04-19 06:39:38.854,,1
3678356,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,5779e621-bd92-4ceb-b8ad-bd290c4c55af,S8W2PRCHQXETHD6D,submitted,plz check,2025-04-19 07:07:49.742,2025-04-19 07:07:49.742,,1
3765960,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,7eb29853-7e04-4ca8-a645-ae04fe068418,HGDJ7CYFKNB85P3J,submitted,ok,2025-05-14 10:10:27.283,2025-05-14 10:10:27.283,,1
3765961,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,121f6ba4-39d8-45f6-b57b-2047bffe4584,HGDJ7CYFKNB85P3J,submitted,ok,2025-05-14 10:10:33.874,2025-05-14 10:10:33.874,,1
3766051,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,3dcabe41-472c-452f-b448-cd6255e65b4c,HGDJ7CYFKNB85P3J,submitted,Pls select the publish folder,2025-05-14 10:27:40.807,2025-05-14 10:27:40.807,,1
3766052,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,9cadc5fe-db5e-479a-be37-5f5bf305bfa2,HGDJ7CYFKNB85P3J,submitted,Pls select the publish folder,2025-05-14 10:27:40.807,2025-05-14 10:27:40.807,,1
3938468,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,13718c46-26f7-488f-ad96-238ea8d8cb2e,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:47:53.252,2025-07-04 12:47:53.252,,1
3938469,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,22477c0f-ecd2-4093-8b7d-95728d338729,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:47:53.252,2025-07-04 12:47:53.252,,1
3938470,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,0aec4de2-b6e4-48a0-b12d-55baa5672666,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:47:53.252,2025-07-04 12:47:53.252,,1
3938471,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,47358130-2031-4f99-8aff-712198aeedbc,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:47:53.252,2025-07-04 12:47:53.252,,1
3938472,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,79ce8d1a-f7f2-4a4e-9667-2e17a2f75ed2,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:47:53.252,2025-07-04 12:47:53.252,,1
3938473,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,3c9d0e33-084d-4184-bf1f-33c0aec18493,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:47:53.252,2025-07-04 12:47:53.252,,1
3938488,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,db81889f-e9ef-4973-90c0-e7b546dd0526,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938489,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,ddcf2d4c-3133-4e93-9d74-b93fa013294e,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938490,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,1ac34c0a-18f0-4823-bf83-f610b0403eef,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938491,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,0bc658cc-a460-4f30-917f-6e2e5117c3e4,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938492,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,c36d1916-9747-4c7e-954c-3f99d18fdade,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938493,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,389a5364-1c0e-416f-8d90-5c946ddd5a00,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938494,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2e5c37e2-2cc5-43d9-96f6-120734fb0822,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938495,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,bc1a1c00-2095-43b5-af76-b5174ae3c18b,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938496,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,65a84cc9-8a6f-4326-bc46-7c0935ad8492,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938497,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,68886e74-3655-4e93-be47-faaf0fc3d5fe,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938498,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,466f7b54-6376-4fcd-b9dc-d58f0f11714e,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938499,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,81f4c8cd-dd8e-4500-a69f-829545bd8f6f,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938500,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,7f5ae1eb-e872-465a-b35e-fb69ed342e9d,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938501,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,f03f1614-afec-4856-8600-2c4575648aad,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938502,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,8f50ec9d-cb8c-497b-bdb2-dba564ef6d7c,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938503,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,f095a7e7-a833-4929-ae94-5d0876cb5ed3,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938504,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,6ea03393-d24a-47b5-a416-59e1e081e817,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938505,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,a9f434e2-bf87-49a4-a537-073da5a1f57c,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938506,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,5e3efee5-47a0-4a19-b454-865db51fcc96,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938507,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,238c6428-0920-4506-a793-191193cfdb6d,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
3938508,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,e2ed5137-631f-4f7e-a352-9fcbd48bd42b,S762NMGBKUB423MM,submitted,Comments shared on Mail,2025-07-04 12:49:52.843,2025-07-04 12:49:52.843,,1
