id,rfi_id,bim360_account_id,bim360_project_id,content,updated_by,created_by,on_behalf,status,created_at,updated_at,deleted_at,state
29836281-836c-407b-9fda-9da7c3feb80a,4dbed860-0879-4aa4-9a98-1f20405dd952,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"
For the Top bar, we need to have 150mm vertical bend in addition to 460mm. Horizontal bars if required can be added as per site condition.
(Sketch is also attached)
",,S762NMGBKUB423MM,,answered,2025-05-23 07:25:27.904,2025-05-23 07:25:27.905,,submitted
a925f992-1bb4-44a0-8a36-a9c6ab76671f,cdad1adc-45ec-4168-82b0-16632c84986e,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Detail already in issued drawings.,,CMJ2N3U8MSMRM8ZA,,answered,2025-05-22 07:41:58.643,2025-05-22 08:41:12.348,2025-05-22 08:44:00.969,draft
6f6ee48e-e00d-4a31-a4dd-a62abb18ec40,7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Drawing Attached.,,CMJ2N3U8MSMRM8ZA,,answered,2025-05-22 10:19:05.044,2025-05-22 10:19:05.044,,submitted
6d8569df-7a3a-4b93-9cca-bc6cc6d168c2,4dbed860-0879-4aa4-9a98-1f20405dd952,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"For the Top bar, we need to have 150mm vertical bend in addition to 460mm.
Horizontal bars if required can be added as per site condition.",,FM42EJFZPNC5F3HF,,answered,2025-05-22 12:49:34.251,2025-05-22 12:49:34.251,,submitted
3bb667b6-0193-4753-a28a-ac1fd3dd1fb7,346cb945-c348-4f4c-8402-11dc4e7e4628,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"Please find attached response to said RFI, attachements are also there ",,S762NMGBKUB423MM,,answered,2025-05-23 07:07:46.294,2025-05-23 07:07:46.294,,submitted
21816c9f-601f-4396-97a9-4ea5a5cccf2d,0cd75373-6a38-46af-b878-5abccb5640ca,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Please change anchor inclination to 70degree with vertical. If this is not feasible then core cutting should be done 1m below the current anchor level to install the new anchors.,,LVH2DEFULGBL4AFH,,answered,2025-06-25 10:02:26.099,2025-06-25 10:02:26.099,,submitted
ea3e4ef0-7272-4d63-8244-52d070b3e1fd,bff81e2b-9089-470d-8f07-7311d06b75a7,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"Concrete grade of retaining wall changed to M25, earlier this was M30, Updated drawing is attached herewith, and is also uploaded in Published GFC Folder.",,FM42EJFZPNC5F3HF,,answered,2025-07-17 10:45:38.795,2025-07-17 10:45:38.795,,submitted
98218ad2-ab76-4b6e-8de5-ff5213e7a61d,bff81e2b-9089-470d-8f07-7311d06b75a7,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,"Dear Sandeep ji
Follow the response and drawings provided by CBM ",,S762NMGBKUB423MM,,answered,2025-07-17 12:48:36.808,2025-07-17 12:48:36.808,,submitted
e074f524-49e6-4102-9e0c-b335858dd0ac,bb9665af-a15e-4e99-8e86-9e5464b23c45,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"Response of RFI-16 was submitted on 14th may by Bhaskar.

Unable to understand that such a basic queries on RFI are being raised. All details are already provided, which seems site is not reading and understanding the details properly. request all such issues need to be discussed before raising any RFI. RFI only shall be raised after discussing with concerned team and then if required then only it is to be raised when any detail/discrepancy is found in drawing.

Pour plan approval for coming month is must in the last week of present month.

RFI's to be raised on the name of concerned Engineer at the HO, escalation to Dushyant after 2 days and then Escalation to me after a day if no Response.

thanks 
",D5ZKMDH5JP7L,D5ZKMDH5JP7L,,answered,2025-05-10 06:30:27.719,2025-05-17 05:34:21.132,,submitted
9f9e556d-38dc-4492-a1d7-02507dec403b,c1b95096-23e6-4519-8f28-09c0eb95fafd,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Please refer the attached Specification and Method Statement for Permanent Anchors.,,G5LJ2CH9PRAMRT7X,,answered,2025-05-20 08:29:49.673,2025-05-20 08:29:49.673,,submitted
eb6318bf-3b84-4a0f-ab8a-3c72eb8dc362,eabfeed2-bcf3-4530-b2c3-20fbdd3f965a,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,Please find the attached response from Geocon.,,G5LJ2CH9PRAMRT7X,,answered,2025-05-29 09:15:59.639,2025-05-29 09:15:59.639,,submitted
445ec108-e4f4-43a5-aea1-5db2c6108bb7,80ea0e55-fcfd-4c57-9188-712d6c8a9a08,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,The revised drawing has been provided by Chirag.,,G5LJ2CH9PRAMRT7X,,answered,2025-05-29 12:31:23.089,2025-05-29 12:31:23.089,,submitted
26b8eec2-cc55-4415-8750-90abd7f2fd46,f605a63b-e2dd-47bc-9ecd-f071b7aadeb7,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,with reference to the RFI - Top steel range/extent of steel updated. ,,67E2T63RRMUGH3NG,,answered,2025-06-09 05:18:11.687,2025-06-09 05:18:11.687,,submitted
c7b19ba5-bb32-49e7-907c-125c3050cbf0,53f61369-aaca-4d22-952f-b49d2e81fbf4,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,Kindly follow the attached drawing,,S762NMGBKUB423MM,,answered,2025-07-04 10:32:57.769,2025-07-04 10:32:57.769,,submitted
af7bf292-2266-4fcc-aaf3-7eeebee507ef,64ba1333-14ae-405b-88c4-869d2810e5b2,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"please find the attached drawing with added ST2 details as GFC. 
",,67E2T63RRMUGH3NG,,answered,2025-08-04 13:24:12.638,2025-08-04 13:24:12.638,,submitted
09ce8c19-dbd2-4059-8617-5694dd6bef7a,3cc85ced-2c3b-4bca-8a97-9986d0a7e360,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"Dear Deepak Ji
Please proceed for footing with T12@175c/c

While for shear wall, Please follow our GFC released drawings, ",,S762NMGBKUB423MM,67E2T63RRMUGH3NG,answered,2025-08-20 10:07:07.386,2025-08-20 10:07:07.386,,submitted
ae6870f4-4ea8-4f91-b94b-46e2155d6c76,79d38989-fc0e-4b82-a3ee-4a3775d7c7d6,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,"This is updated, that extra note is removed, All footing is in M40 concrete grade",,FM42EJFZPNC5F3HF,,answered,2025-08-20 10:50:05.762,2025-08-20 10:50:05.762,,submitted
f6beb0db-f9ae-41f4-9b4e-9d29c1a10f51,fe2169f5-b6cd-4241-b7a7-464aeb6ed752,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,Grade slab detail is added in drawing number GNBT-S-TA-FD-1.06-GFC uploaded in ACC.,,FM42EJFZPNC5F3HF,,answered,2025-08-20 10:51:58.298,2025-08-20 10:51:58.298,,submitted
08b2006c-0463-43ef-8f7b-cf8d9dfbea3f,c8303991-6637-47f8-9144-8a38071905db,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,This additional section shall be shared on 22.08.225,,FM42EJFZPNC5F3HF,,answered,2025-08-20 10:52:44.854,2025-08-20 10:52:44.854,,submitted
cd55d977-ad15-434a-b452-868c589f0693,b97e32fe-3759-4e91-99b1-0f27419ab2da,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,All the comments of mismatches are corrected and updated drawing is uploaded.,,FM42EJFZPNC5F3HF,,answered,2025-08-20 10:54:20.714,2025-08-20 10:54:20.714,,submitted
a8aa04a5-f123-42c3-baeb-160ffd8af8e5,cb6ebf4d-e2f9-43b2-a076-37e25ba5b267,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"Please follow below 
J = T8@175c/c
L = T8@125
C = T8@250
K = T12@140
",,S762NMGBKUB423MM,67E2T63RRMUGH3NG,answered,2025-08-21 09:56:14.503,2025-08-21 09:56:14.503,,submitted
35b36d19-5eb8-4f1e-9891-630b461694cf,16f0e834-6a58-48ab-b7f8-2c678dcbffaa,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"Dear Deepak Ji
Kinldy follow the size provide in section, also close the RFI if query is solved",,S762NMGBKUB423MM,,answered,2025-05-27 04:57:41.696,2025-05-27 04:57:41.697,,submitted
5583872e-71b9-4afc-9d07-c80e0c7108c5,bcae37c7-7f8f-43ab-974a-debf55497cc3,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"Dear All
Please follow the attached response to the said RFI",,S762NMGBKUB423MM,LVH2DEFULGBL4AFH,answered,2025-06-07 10:45:04.853,2025-06-07 10:45:04.853,,submitted
1041d92f-b87f-41c5-b66b-da28d4374f1a,337cf77d-9035-4ea4-b98c-9343ef205817,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,ft,,3NH2Q57QKQWJE37V,EHAJMY6KJEY6BP5Y,answered,2025-05-22 10:43:41.711,2025-05-22 10:43:41.711,,submitted
019ac1ab-ca5f-4996-8468-95f1f8a63347,e911b3a0-8a76-4e79-8397-1a01a94d58bb,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,Please fin attachment,,CMJ2N3U8MSMRM8ZA,,answered,2025-05-30 07:13:12.105,2025-05-30 07:13:12.105,,submitted
68bdf1d7-ac9a-4605-91d1-03bb7e29a6fd,05050ce4-7eb8-47c5-b0d7-2463271de5c6,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,"site team may referring old drawing, details are already given in R2 drawing issued on 18.04.2025. !!!
the same details can be also found in the drawing submitted same drawing on 28.05.2025 as R3. (with added corner slab details of walking platform.)
if required also attached herewith as well for your ready reference.  ",,67E2T63RRMUGH3NG,,answered,2025-06-02 04:05:58.718,2025-06-02 04:05:58.718,,submitted
7b7f3b1f-0578-4348-a5c6-e84bac6c5ff2,6f61287e-aabf-4244-9508-328892a68dcd,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,OK this is clarified,,Z3429E4KRUPBNHD4,,rejected,2025-06-10 08:26:17.58,2025-06-10 08:26:17.58,,submitted
