id,bim360_account_id,bim360_project_id,template_id,status,assignee_id,number,form_date,notes,description,weather_id,native_form_id,file_id,created_by,updated_at,location_id,last_reopened_by,last_submitter_signature,due_date,created_at,last_submitted_at,assignee_type_id,assignee_type,name,last_submitted_by
0af849d9-a6ac-428c-9f31-c312e458bdff,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,6f671fd4-b82d-5882-be6c-e928e380ee80,discarded,,260,2025-08-13,"",,,369516b2-394f-4f8f-9cef-4a18fbb964c5,,BFH2KAVSNP5G463F,2025-08-13 12:14:43.455561,,,,,2025-08-13 10:22:07.745522,,,,GI Box Work Checklist,
144f4182-5d31-4665-9623-d71cdb09869f,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,5c127cac-cd92-5405-b0a1-4e5b45588c14,in_progress,,35,2025-05-10,,jacketing work ,,c1e79a91-0188-4d89-8f77-881b335d3512,,RQ92XKNVL7KYFP4W,2025-05-10 09:00:28.573005,ad01b2da-c70e-4e12-802b-1788ca4e16ed,,,2025-05-10,2025-05-10 08:49:20.84428,,,,Pour Card Checklist,
2e8de346-6600-4e4a-8409-7a4479d04d91,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,0212464f-8566-5c14-83df-893d6c718503,discarded,,101,2025-08-02,,Panel number p-2-4 & 59,,e828c79e-9fab-4ea1-b8b9-dc0382148128,,3TSJN3BRN9YVX2DX,2025-08-18 06:50:54.84061,9f596bd4-5e40-40c6-b23c-729bab26a0c2,,,2025-08-02,2025-08-02 05:25:11.64854,,,,Panel number 2-4 and 59,
76e877b5-f37b-4c3c-84d8-6b6e20841d4a,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,a8046b06-2727-5886-89d8-9eedb3885276,in_progress,,109,2025-06-19,,,,15a7bba8-e1e7-4506-8ce4-a80c990e0b4c,,V9Q2X946QA52XTJG,2025-06-19 11:30:32.045403,,,,,2025-06-19 11:30:32.0454,,,, Door Windows Checklist,
43e9674b-5bf9-4b2d-9d0a-b94b88af4925,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,5c127cac-cd92-5405-b0a1-4e5b45588c14,discarded,,37,2025-05-10,,,,c379dfff-8769-44ce-9460-3c414dd5eb77,,RQ92XKNVL7KYFP4W,2025-05-10 10:58:13.763005,,,,,2025-05-10 10:58:04.557625,,,,Pour Card Checklist,
f7635f1d-66fb-4c8e-a50e-7a81d13a1638,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,5c127cac-cd92-5405-b0a1-4e5b45588c14,discarded,,38,2025-05-10,,,,1d09e310-80ab-4399-8a81-3ea9c096a5b5,,RQ92XKNVL7KYFP4W,2025-05-10 11:00:44.524142,,,,,2025-05-10 11:00:35.679604,,,,Pour Card Checklist,
bedde6d8-9d21-40c2-90b7-c293330794ff,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,5c127cac-cd92-5405-b0a1-4e5b45588c14,in_progress,,211,2025-08-24,,"C-73,57,52,72,24,25,113,114,151,131",,2ebffce3-2d0b-4975-9538-84b4d1b3b0c1,,MJU2FLVXJAQLGRH7,2025-08-27 04:19:03.129365,93459eb9-8896-4b2e-8442-ead0ffd1fec2,,,2025-08-24,2025-08-24 14:35:38.076038,,,,Pour Card Checklist,
90a11aa6-4159-490c-9a4a-1541bb24a169,bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,5c127cac-cd92-5405-b0a1-4e5b45588c14,in_progress,,53,2025-05-14,,"Rcc SW:- 22,21 (2nd lift) 
Rcc col.:- 51,2nd lift     (35,45 1st lift)
surface:- Level, Att, PCC ",,812b38f4-105a-45c4-ba58-b0806a43758c,,RQ92XKNVL7KYFP4W,2025-05-16 07:27:14.165081,80429a9b-4267-4bad-a373-2c2d2e3a039b,,,2025-05-14,2025-05-14 16:28:54.904785,,,,Pour Card Checklist,
5b6af3d8-edf0-4fbf-b927-5fb8b39b0329,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,f8e02105-e75d-4fac-9cd6-fb7b921b764b,in_progress,YQH2SLPMM8Q48DDT,157,2025-08-18,"",,,,31d08533-1dd6-4b92-8c68-4c5e8d43a840,YQH2SLPMM8Q48DDT,2025-08-19 06:02:50.074192,,,,,2025-08-19 06:02:50.07419,,YQH2SLPMM8Q48DDT,,Bill Submission Checklist - Submittals,
22c2fe79-48d2-4e54-a0bd-ea5b6f986aa6,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,f8e02105-e75d-4fac-9cd6-fb7b921b764b,in_progress,YEYJGRGXQH2X5DAY,110,2025-06-19,"",,,,a8ded7cf-d409-47ae-9ef3-7ae6bafc7ead,YEYJGRGXQH2X5DAY,2025-06-23 10:01:59.518111,,,,,2025-06-19 12:03:39.283518,,YEYJGRGXQH2X5DAY,,Bill Submission Checklist - Submittals,
